item_id,code
26584730,warning-cannot-be-satisfied
26585159,informed-acceptance
26585746,warning-cannot-be-satisfied
31409704,informed-acceptance
33107611,workaround-becomes-standard
33111903,workaround-becomes-standard
33112247,trust-store-unmaintainable
33133644,informed-acceptance
34653090,workaround-becomes-standard
36505419,trust-store-unmaintainable
36505958,trust-store-unmaintainable
36506110,trust-store-unmaintainable
36506195,org-friction-as-cause
36506246,warning-cannot-be-satisfied
36506258,workaround-becomes-standard
36506755,org-friction-as-cause
36507168,habituation-by-design
36507332,warning-cannot-be-satisfied
36507341,habituation-by-design
36507921,warning-cannot-be-satisfied
36508005,warning-cannot-be-satisfied
36508087,removing-the-warning-is-the-goal
36510367,trust-store-unmaintainable
36512276,trust-store-unmaintainable
36513476,workaround-becomes-standard
37321957,warning-cannot-be-satisfied
38039425,workaround-becomes-standard
39737209,warning-cannot-be-satisfied
39748034,workaround-becomes-standard
40088421,vendor-undermines-trust
41436340,habituation-by-design
41480034,sanctioned-mitm
41481910,sanctioned-mitm
41482009,informed-acceptance
41482145,sanctioned-mitm
41482312,sanctioned-mitm
41482609,sanctioned-mitm
43084783,warning-cannot-be-satisfied
43085175,removing-the-warning-is-the-goal
43086072,informed-acceptance
43088786,removing-the-warning-is-the-goal
44031404,warning-cannot-be-satisfied
44135480,warning-cannot-be-satisfied
44143995,workaround-becomes-standard
44298562,warning-cannot-be-satisfied
44932434,control-teaches-opposite
44941422,control-teaches-opposite
45530790,control-teaches-opposite
45530826,control-teaches-opposite
45530891,control-teaches-opposite
45531134,control-as-liability-transfer
45531329,control-teaches-opposite
45531438,org-friction-as-cause
45531623,control-as-liability-transfer
45532469,control-teaches-opposite
45532515,control-teaches-opposite
45532736,control-teaches-opposite
45532875,control-as-liability-transfer
45532990,control-as-liability-transfer
45533836,habituation-by-design
45534624,org-friction-as-cause
45534755,control-teaches-opposite
45539888,control-teaches-opposite
45620711,control-teaches-opposite
45643144,warning-cannot-be-satisfied
47457162,vendor-undermines-trust
47618945,trust-store-unmaintainable
48117476,warning-cannot-be-satisfied
48229314,control-teaches-opposite
48562859,sanctioned-mitm
48563100,informed-acceptance
48574441,sanctioned-mitm
49049796,designing-against-click-through
49087187,designing-against-click-through
49102863,designing-against-click-through
49595797,habituation-by-design
